mmYY,stars
08-2016,4
07-2016,4
07-2016,4
06-2016,3
06-2016,4
06-2016,5
06-2016,4
05-2016,4
05-2016,2
04-2016,3
04-2016,2
04-2016,3
04-2016,5
04-2016,4
04-2016,5
05-2016,5
05-2016,5
02-2016,2
01-2016,2
01-2016,3
01-2016,4
12-2015,5
12-2015,3
11-2015,4
09-2015,4
09-2015,2
07-2015,5
07-2015,4
07-2015,4
07-2015,3
07-2015,2
07-2015,3
07-2015,4
07-2015,4
06-2015,2
06-2015,4
05-2015,3
05-2015,1
04-2015,5
04-2015,5
03-2015,1
03-2015,2
02-2015,3
02-2015,3
01-2015,2
01-2015,2
01-2015,2
01-2015,3
01-2015,1
01-2015,1
11-2014,3
11-2014,5
11-2014,1
10-2014,1
10-2014,3
10-2014,4
10-2014,5
10-2014,2
10-2014,1
09-2014,3
09-2014,5
09-2014,4
08-2014,1
08-2014,4
07-2014,5
07-2015,3
05-2014,3
05-2014,2
04-2014,4
03-2014,5
02-2014,5
11-2013,5
10-2013,3
10-2013,4
09-2013,4
07-2013,3
03-2013,4
02-2013,5
01-2013,2
11-2012,4
11-2012,2
11-2012,5
10-2012,5
09-2012,5
08-2012,5
08-2012,4
07-2012,5
07-2012,4
03-2012,5
02-2012,5
01-2012,5
01-2012,2
09-2011,3
06-2011,4
05-2011,2
11-2010,4
04-2010,3
04-2010,4
01-2010,4
10-2008,4
06-2008,4
